13439300055352,,London,123456,GB
13439300055369,,London2,567894,GB
13439300055644,,London2,1651651,GB
13439300061284,,London2,61652845,GB
13439300061405,,London,123457,GB
13439300061293,,London3,567895,GB
13439300065880,,London3,1651652,GB
13439300066102,,London3,61652846,GB
13439300067023,,London,123458,GB
13439300067486,,London4,567896,GB
13439300067559,,London4,1651653,GB
13439300067641,,London4,61652847,GB
13439300067924,,London,123459,GB
13439300068354,,London5,567897,GB
13439300068351,,London5,1651654,GB
13439300068695,,London5,61652848,GB
